Handle,Tracklist,Format,Label,ReleaseYear
genesis-duke-lp-new-vinyl-0081227955335,"1. Behind The Lines (5:31)
2. Duchess (6:40)
3. Guide Vocal (1:18)
4. Man Of Our Times (5:35)
5. Misunderstanding (3:11)
6. Heathaze (5:00)
7. Turn It On Again (3:50)
8. Alone Tonight (3:54)
9. Cul-De-Sac (5:02)
10. Please Don't Ask (4:00)
11. Duke's Travels (8:41)
12. Duke's End (2:04)",Vinyl,"Craft Recordings, Rhino Records (2)",2024
genesis-foxtrot-lp-new-vinyl-1516778,"1. Watcher Of The Skies 
2. Time Table 
3. Get 'Em Out By Friday 
4. Can-Utility And The Coastliners 
5. Horizons 
6. Supper's Ready ",Vinyl,"Atlantic, Rhino Records (2), Charisma",2014
genesis-genesis-lp-new-vinyl-0081227941765,"1. Mama 
2. That's All 
3. Home By The Sea 
4. Second Home By The Sea 
5. Illegal Alien 
6. Takin' It All Too Hard 
7. Just A Job To Do 
8. Silver Rainbow 
9. It's Gonna Get Better ",Vinyl,"Atlantic, Rhino Records (2)",2024
genesis-the-lamb-lies-down-on-broadway-lp-new-vinyl-0603497896196,"1. The Lamb Lies Down On Broadway 
2. Fly On A Windshield 
3. Broadway Melody Of 1974 
4. Cuckoo Cocoon 
5. In The Cage 
6. The Grand Parade Of Lifeless Packaging 
7. Back In N.Y.C. 
8. Hairless Heart 
9. Counting Out Time 
10. Carpet Crawlers 
11. The Chamber Of 32 Doors 
12. Lilywhite Lilith 
13. The Waiting Room 
14. Anyway 
15. Here Comes The Supernatural Anaesthetist 
16. The Lamia 
17. Silent Sorrow In Empty Boats 
18. The Colony Of Slippermen 
19. Ravine 
20. The Light Dies Down On Broadway 
21. Riding The Scree 
22. In The Rapids 
23. It ",Vinyl,"Charisma, Atlantic, Rhino Records (2)",2018
genesis-turn-it-on-again-the-hits-lp-new-vinyl-0603497826544,"1. Turn It On Again (3:51)
2. Invisible Touch (3:28)
3. Mama (5:18)
4. Land Of Confusion  (4:46)
5. I Can't Dance  (4:00)
6. Follow You Follow Me (3:59)
7. Hold On My Heart  (4:37)
8. Abacab (4:10)
9. I Know What I Like (In Your Wardrobe) (4:09)
10. No Son Of Mine (5:44)
11. Tonight, Tonight, Tonight  (4:28)
12. In Too Deep (4:56)
13. Congo  (4:03)
14. Jesus He Knows Me (4:17)
15. That's All (4:25)
16. Misunderstanding  (3:14)
17. Throwing It All Away (3:51)
18. The Carpet Crawlers 1999 (5:34)",Vinyl,"Craft Recordings, Craft Recordings",2024
bobbie-gentry-the-girl-from-chickasaw-county-highlights-from-the-capitol-masters-lp-new-vinyl-5395656,"1. Ode To Billie Joe 
2. Chickasaw County Child 
3. Hurry, Tuesday Child (Demo) 
4. Sunday Best (Alternate Take) 
5. Mississippi Delta (Alternate Version) 
6. Okolona River Bottom Band 
7. Refractions 
8. Courtyard 
9. Mornin' Glory 
10. Sweete Peony (Alternate Version) 
11. Casket Vignette 
12. Recollection 
13. Sittin' Pretty 
14. Hushabye Mountain 
15. The Conspiracy Of Homer Jones 
16. Sunday Mornin' (Alternative Version) 
17. Let It Be Me (Without Strings) 
18. God Bless The Child 
19. This Girl's In Love With You 
20. Touch 'Em With Love (Stereo Version) 
21. Seasons Come, Seasons Go (Demo) 
22. Glory Hallelujah, How They'll Sing (Alternate Take) 
23. Fancy 
24. He Made A Woman Out Of Me 
25. Circle 'Round The Sun 
26. Apartment 21 (Stereo Version) 
27. Benjamin 
28. But I Can't Get Back 
29. Lookin' In 
30. Smoke 
31. Joanne 
32. The Girl From Cincinnati ",Vinyl,"UMC, UMC",2022
george-semper-joanne-vent-knowbodys-gonna-love-you-like-the-way-i-do-lp-new-vinyl-dynam7056,"1. Knowbody's Gonna Love You (Like The Way I Do) Demo Version (2:24)
2. Knowbody's Gonna Love You (Like The Way I Do) Unreleased Acetate Version (2:14)",Vinyl,"Dynamite Cuts, George Semper Music Archives",2020
george-adams-don-pullen-quartet-city-gates-lp-new-vinyl-movlp3713c,"1. Mingus Metamorphosis (13:20)
2. Samba For Now (8:31)
3. Thank You Very Much Mr. Monk (7:57)
4. Nobody Knows The Trouble I've Seen (5:18)
5. City Gates (7:56)",Vinyl,"Music On Vinyl, Timeless (9)",2024
george-adams-quintet-paradise-space-shuttle-lp-new-vinyl-movlp3745,"1. Intentions (4:45)
2. Send In The Clowns (4:26)
3. Metamorphosis For Mingus (6:53)
4. Paradise Space Shuttle (4:10)
5. City Of Peace (6:46)
6. Funk-a-roonie-peacock (14:00)",Vinyl,Music On Vinyl,2024
leonard-bernstein-george-gershwin-new-york-philharmonic-columbia-symphony-orchestra-piano-and-conductor-an-american-in-paris-rhapsody-in-blue-lp-new-vinyl-vpc85002,"1. An American In Paris 
2. Rhapsody In Blue ",Vinyl,Vinyl Passion Classical,2014
stan-getz-dizzy-gillespie-sonny-stitt-for-musicians-only-lp-new-vinyl-vp80048,"1. Bebop 
2. Dark Eyes 
3. Wee (Allen's Alley) 
4. Lover Come Back To Me 
5. Bonus Track 
6. It Don't Mean A Thing (If It Ain't Got That Swing) ",Vinyl,Vinyl Passion,2014
ghost-32-impera-lp-new-vinyl-lvr2408,"1. Imperium (1:43)
2. Kaisarion (5:02)
3. Spillways (3:17)
4. Call Me Little Sunshine (4:44)
5. Hunter's Moon (3:16)
6. Watcher In The Sky (5:48)
7. Dominion (1:23)
8. Twenties (3:46)
9. Darkness At The Heart Of My Love (4:59)
10. Griftwood (5:16)
11. Bite Of Passage (0:31)
12. Respite On The Spitalfields (6:43)",Vinyl,"Loma Vista, Loma Vista",2022
ghost-32-skelet-lp-new-vinyl-7266784,"1. Peacefield 
2. Lachryma 
3. Satanized 
4. Guiding Lights 
5. De Profundis Borealis 
6. Cenotaph 
7. Missilia Amori 
8. Marks Of The Evil One 
9. Umbra 
10. Excelsis ",Vinyl,Loma Vista,2025
ghost-32-skelet-lp-new-vinyl-0888072687653,"1. Peacefield 
2. Lachryma 
3. Satanized 
4. Guiding Lights 
5. De Profundis Borealis 
6. Cenotaph 
7. Missilia Amori 
8. Marks Of The Evil One 
9. Umbra 
10. Excelsis ",Vinyl,Loma Vista,2025
ghostface-killah-the-pretty-toney-album-lp-new-vinyl-0602547066299,"1. Intro (2:28)
2. Biscuits (3:24)
3. Kunta Fly Sh** (1:00)
4. Beat The Clock (2:49)
5. Metal Lungies (3:07)
6. Bathtub (Skit) (1:35)
7. Save Me Dear (3:02)
8. It's Over (4:10)
9. Keisha's House (Skit) (1:04)
10. Tush (3:24)
11. Last Night (Skit) (2:31)
12. Holla (3:19)
13. Ghostface (2:38)
14. Be This Way (4:09)
15. The Letter (Skit) (1:21)
16. Tooken Back (5:03)
17. Run (3:19)
18. Love (3:38)",Vinyl,Def Jam Recordings,2014
ghostface-killah-36-seasons-lp-new-vinyl-9010974030348,"1. The Battlefield 
2. Love Don't Live Here No More 
3. Here I Go Again 
4. Loyalty 
5. Thin Line Between Love And Hate 
6. The Dogs Of War 
7. Emergency Procedure 
8. Double Cross 
9. Bamboo's Lament 
10. Pieces To The Puzzle 
11. Homicide 
12. Blood In The Streets 
13. Call My Name 
14. I Love You For All Seasons ",Vinyl,Salvation (10),2025
ghostface-killah-36-seasons-lp-new-vinyl-9010974030584,"1. The Battlefield 
2. Love Don't Live Here No More 
3. Here I Go Again 
4. Loyalty 
5. Thin Line Between Love And Hate 
6. The Dogs Of War 
7. Emergency Procedure 
8. Double Cross 
9. Bamboo's Lament 
10. Pieces To The Puzzle 
11. Homicide 
12. Blood In The Streets 
13. Call My Name 
14. I Love You For All Seasons ",Vinyl,Salvation (10),2025
ghostface-killah-36-seasons-lp-new-vinyl-9010974030300,"1. The Battlefield 
2. Love Don't Live Here No More 
3. Here I Go Again 
4. Loyalty 
5. Thin Line Between Love And Hate 
6. The Dogs Of War 
7. Emergency Procedure 
8. Double Cross 
9. Bamboo's Lament 
10. Pieces To The Puzzle 
11. Homicide 
12. Blood In The Streets 
13. Call My Name 
14. I Love You For All Seasons ",Vinyl,Salvation (10),2025
ghostface-killah-36-seasons-lp-new-vinyl-9010974030089,"1. The Battlefield 
2. Love Don't Live Here No More 
3. Here I Go Again 
4. Loyalty 
5. Thin Line Between Love And Hate 
6. The Dogs Of War 
7. Emergency Procedure 
8. Double Cross 
9. Bamboo's Lament 
10. Pieces To The Puzzle 
11. Homicide 
12. Blood In The Streets 
13. Call My Name 
14. I Love You For All Seasons 
15. Bonus Instrumental Album 
16. The Battlefield 
17. Love Don't Live Here No More 
18. Here I Go Again 
19. Loyalty 
20. The Dogs Of War 
21. Emergency Procedure 
22. Double Cross 
23. Pieces To The Puzzle 
24. Homicide 
25. Blood In The Streets 
26. Call My Name ",Vinyl,Salvation (10),2025
ghostface-killah-ironman-lp-new-vinyl-movlp1451,"1. Iron Maiden (4:46)
2. Wildflower (3:26)
3. The Faster Blade (2:27)
4. 260 (2:46)
5. Assassination Day (4:18)
6. Poisonous Darts (2:15)
7. Winter Warz (4:40)
8. Box In Hand (3:14)
9. Fish (3:50)
10. Camay (4:34)
11. Daytona 500 (4:40)
12. Motherless Child (3:45)
13. Black Jesus (4:37)
14. After The Smoke Is Clear (3:17)
15. All That I Got Is You (5:21)",Vinyl,Music On Vinyl,2015
beth-gibbons-rustin-man-out-of-season-lp-new-vinyl-6789154,"1. Mysteries 
2. Tom The Model 
3. Show 
4. Romance 
5. Sand River 
6. Spider Monkey 
7. Resolve 
8. Drake 
9. Funny Time Of Year 
10. Rustin Man ",Vinyl,"Go! Beat, Island Records, UMC",2019
debbie-gibson-out-of-the-blue-lp-new-vinyl-movlp3445,"1. Out Of The Blue (3:55)
2. Staying Together (4:07)
3. Only In My Dreams (3:54)
4. Foolish Beat (4:25)
5. Red Hot (3:54)
6. Wake Up To Love (3:42)
7. Shake Your Love (3:44)
8. Fallen Angel (3:43)
9. Play The Field (4:37)
10. Between The Lines (4:42)",Vinyl,Music On Vinyl,2023
astrud-gilberto-great-women-of-song-lp-new-vinyl-5588546,"1. The Girl From Ipanema (5:24)
2. Once I Loved (2:10)
3. Água De Beber (2:18)
4. Fly Me To The Moon (2:22)
5. So Nice (Summer Samba) (2:41)
6. Manhã De Carnaval (1:57)
7. It Might As Well Be Spring (4:28)
8. Corcovado (Quiet Nights Of Quiet Stars) (4:16)
9. How Insensitive (2:47)
10. Só Tinha De Ser Com Você (2:19)
11. (Take Me To) Aruanda (2:30)
12. O Morro (Não Tem Vez) (2:56)
13. Berimbau (2:25)
14. The Shadow Of Your Smile (2:31)",Vinyl,Verve Records,2023
astrud-gilberto-great-women-of-song-lp-new-vinyl-5588547,"1. The Girl From Ipanema (5:24)
2. Once I Loved (2:10)
3. Água De Beber (2:18)
4. Fly Me To The Moon (2:22)
5. So Nice (Summer Samba) (2:41)
6. Manhã De Carnaval (1:57)
7. It Might As Well Be Spring (4:28)
8. Corcovado (Quiet Nights Of Quiet Stars) (4:16)
9. How Insensitive (2:47)
10. Só Tinha De Ser Com Você (2:19)
11. (Take Me To) Aruanda (2:30)
12. O Morro (Não Tem Vez) (2:56)
13. Berimbau (2:25)
14. The Shadow Of Your Smile (2:31)",Vinyl,"Verve Records, Verve Records",2023
david-gilmour-live-at-pompeii-lp-new-vinyl-88985464971,"1. 5 A.M. 
2. Rattle That Lock 
3. Faces Of Stone 
4. What Do You Want From Me 
5. The Blue 
6. The Great Gig In The Sky 
7. A Boat Lies Waiting 
8. The Girl In The Yellow Dress 
9. Today 
10. Us And Them 
11. In Any Tongue 
12. High Hopes 
13. Astronomy Domine 
14. Shine On You Crazy Diamond (Parts 1-5) 
15. Fat Old Sun 
16. Coming Back To Life 
17. On An Island 
18. The Dogs Of War 
19. Comfortably Numb 
20. Run Like Hell ","4xVinyl, LP, Box Set, Live, Book, Case, 180 Gram",Columbia Records,2017
glass-animals-dreamland-lp-new-vinyl-3833723,"1. Dreamland 
2. Tangerine 
3. ((Home movie:1994)) 
4. Hot Sugar 
5. ((Home Movie: BTX)) 
6. Space Ghost Coast To Coast 
7. Tokyo Drifting 
8. Melon And The Coconut 
9. Your Love (Deja Vu) 
10. Waterfalls Coming Out Your Mouth 
11. It's All So Incredibly Loud 
12. ((Home Movie: Rockets)) 
13. Domestic Bliss 
14. Heat Waves 
15. ((Home Movie: Shoes On)) 
16. Helium ",Vinyl,Wolf Tone,2020
glass-animals-dreamland-lp-new-vinyl-883362,"1. Dreamland (3:23)
2. Tangerine (3:20)
3. ((home movie: 1994)) (0:07)
4. Hot Sugar (3:54)
5. ((home movie: btx)) (0:13)
6. Space Ghost Coast To Coast (3:07)
7. Tokyo Drifting (3:36)
8. Melon And The Coconut (2:28)
9. Your Love (Déjà Vu) (3:54)
10. Waterfalls Coming Out Your Mouth (2:41)
11. Its All So Incredibly Loud (4:19)
12. ((home movie: rockets)) (1:00)
13. Domestic Bliss (3:18)
14. Heat Waves (3:58)
15. ((home movie: shoes on)) (0:31)
16. Helium (5:28)",Vinyl,"Wolf Tone, Polydor, Republic Records",2020
philip-glass-dancepieces-lp-new-vinyl-movcl054,"1. In The Upper Room 
2. Dance I 
3. Dance II 
4. Dance V 
5. Dance VIII 
6. Dance IX 
7. Glasspieces 
8. Glasspiece #1 (""Rubric"") 
9. Glasspiece #2 (""Facades"") 
10. Glasspiece #3 (""Funeral"" From Akhnaten) ",Vinyl,"Music On Vinyl, Sony Classical",2020
philip-glass-the-essential-lp-new-vinyl-movcl076c,"1. Lightning (From Songs From Liquid Days) (6:43)
2. Facades (From Glassworks) (7:19)
3. A Gentleman's Honor (From The Photographer) (3:17)
4. Primacy Of Number (From Naqoyqatsi) (6:52)
5. Metamorphosis IV (7:00)
6. Open The Kingdom - Liquid Days, Part II (7:00)
7. Dance II (From In The Upper Room) (5:42)
8. Dance VIII (From In The Upper Room) (4:48)
9. Glasspiece #1 - Rubric (From Glassworks) (6:03)
10. Changing Opinion (From Songs From Liquid Days) (9:56)
11. Opening (From Glassworks) (6:18)
12. Floe (From Glassworks) (5:59)
13. Funeral Of Amenhotep III - Scene 1 (From Akhnaten) (8:59)
14. Point Blank (From Naqoyqatsi) (11:17)
15. Wichita Vortex Sutra (6:50)
16. Forgetting (From Songs From Liquid Days) (8:05)
17. Dance IX (From In The Upper Room) (8:08)
18. The Dam (From Itaipu) (11:47)
19. Definition (From Naqoyqatsi) (2:50)
20. Protest (From Satyagraha) (4:19)
21. Evening Song (From Satyagraha) (4:07)
22. Hymn To The Sun (From Akhnaten) (6:16)
23. Trial - Prison (From Einstein On The Beach) (2:47)
24. Akhnaten And Nefertiti (From Akhnaten) (4:15)
25. Kuru Field Of Justice (From Satyagraha) (6:04)
26. Knee Play 1 (From Einstein On The Beach) (3:32)
27. Tolstoy Farm (From Satyagraha) (4:54)
28. Window Of Appearances (From Akhnaten) (4:22)
29. Bed (From Einstein On The Beach) (3:40)
30. Epilogue (From Akhnaten) (4:18)
31. Knee Play 5 (From Einstein On The Beach) (5:10)","Vinyl, Box Set","Music On Vinyl, Sony Classical",2024
philip-glass-atlanta-symphony-orchestra-atlanta-symphony-chorus-robert-shaw-itaipu-the-canyon-lp-new-vinyl-movcl058,"1. Itaipu 
2. The Canyon (16:32)",Vinyl,"Music On Vinyl, Sony Classical",2021
philip-glass-solo-piano-lp-new-vinyl-movcl007c,"1. Metamorphosis 
2. Mad Rush 
3. Wichita Sutra Vortex ",Vinyl,"Music On Vinyl, Sony Music",2023
global-communication-maiden-voyage-lp-new-vinyl-mov12083,"1. Maiden Voyage (Original 8'07>5'23 Version) 
2. Maiden Voyage (Spiritualized Electric Mainline Mix) 
3. Funk In The Fridge 
4. 7'39 (Link & E621 Appliance of Science Mix) 
5. Maiden Voyage (Grid Mix) 
6. Maiden Voyage (Brook Mix) ",Vinyl,"Music On Vinyl, Sony Music",2024
miami-sound-machine-let-it-loose-lp-new-vinyl-movlp2668c,"1. Betcha Say That 
2. Let It Loose 
3. Can't Stay Away From You 
4. Give It Up 
5. Surrender 
6. Rhythm Is Gonna Get You 
7. Love Toy 
8. I Want You So Bad 
9. 1-2-3 
10. Anything For You ",Vinyl,"Music On Vinyl, Epic",2023
go-west-go-west-lp-new-vinyl-crvc1461,"1. We Close Our Eyes (3:47)
2. Don't Look Down (3:53)
3. Call Me (4:12)
4. Eye To Eye (3:33)
5. Haunted (3:15)
6. S.O.S. (3:59)
7. Goodbye Girl (5:06)
8. Innocence (4:11)
9. Missing Persons (5:27)",Vinyl,Chrysalis Catalogue,2022
goblin-buio-omega-the-complete-original-motion-picture-soundtrack-lp-new-vinyl-lpost056p,"1. Buio Omega (Main Titles) (2:52)
2. Quiet Drops (4:31)
3. Strive After Dark (2:30)
4. Pillage (2:20)
5. Rush (4:13)
6. Keen (4:02)
7. Ghost Vest (2:56)
8. Bikini Island (4:02)
9. Buio Omega (Suite 1) (2:56)
10. Quiet Drops (Film Version) (3:48)
11. Strive After Dark (Suite) (3:00)
12. Buio Omega (Alternate Version) (1:40)
13. Strive After Dark (Alternate Version) (3:00)
14. Buio Omega (Synth Effect-Alternate Takes Suite) (2:23)
15. Buio Omega Theme (Reprise) (3:30)",Vinyl,Cinevox Record,2022
goblin-the-other-hell-original-motion-picture-soundtrack-lp-new-vinyl-lpost067,"1. Follie 
2. Buio Omega (M30) 
3. Buio Omega (M25 Keen) 
4. Buio Omega (M32) 
5. Buio Omega (M8 Ghost Vest) 
6. Transmute 
7. Dr. Frankenstein 
8. Buio Omega (M2) 
9. Buio Omega (M7) 
10. Le Cascate Di Viridiana 
11. Metamorfosi 
12. Buio Omega (Memoria) 
13. Patrick 
14. Buio Omega (M31 Pillage) 
15. Buio Omega (M16) 
16. Metamorfosi 
17. Buio Omega (M21) 
18. Patrick 
19. Notte ",Vinyl,"Cinevox Record, Cinevox Record",2025
goblin-wampyr-original-motion-picture-soundtrack-lp-new-vinyl-lpost024,"1. Roller (Titoli Di Testa) (3:46)
2. Le Cascate Di Viridiana (Braddock) (1:51)
3. Snip-Snap (Consegne A Domicilio) (0:57)
4. Il Risveglio Del Serpente (Martin & Christine) (1:18)
5. Dr. Frankenstein (Attacco Sul Treno Della Notte) (6:00)
6. Aquaman (Martin & Emily) (2:30)
7. La Danza (Album Di Famiglia) (2:33)
8. Goblin (Seguendo La Prossima Vittima) (2:18)
9. ...E Suono Rock (Cancellando Le Tracce) (1:02)
10. Wampyr Finale (Impalamento) (1:40)
11. Notte (Titoli Di Coda) (1:39)
12. Strange Terminal (3:35)
13. Royal Road (3:16)",Vinyl,"Cinevox Record, AMS Records (6)",2022
asei-kobayashi-mickie-yoshino-house-original-motion-picture-soundtrack-lp-new-vinyl-ww145,"1. Main Theme 
2. Buggy Boogie 
3. Hungry House Blues 
4. Eat 
5. Sweet Dreams Of Days Gone By 
6. A Letter In The Past 
7. Cherries Were Made For Eating 
8. Eat Eat 
9. In The Evening Mist 
10. Oriental Melon Man 
11. Eat Eat Eat 
12. Love Theme ",Vinyl,Waxwork Records,2022
godley-creme-collected-lp-new-vinyl-movlp3746,"1. 5 O'clock In The Morning  
2. Wind (With Peter Cook)  
3. When Things Go Wrong (With Peter Cook)  
4. Sandwiches Of You 
5. This Sporting Life 
6. An Englishman In New York 
7. Get Well Soon  
8. Freeze Frame 
9. Mug Shots 
10. Wide Boy 
11. Submarine 
12. Under Your Thumb 
13. Wedding Bells 
14. Snack Attack 
15. The Party 
16. Save A Mountain For Me 
17. Samson 
18. Golden Boy 
19. Cry 
20. A Little Piece Of Heaven  
21. 10,000 Angels 
22. Golden Boy (Remix)  
23. Snack Attack (Remix)  ",Vinyl,"Music On Vinyl, Universal Music, Artone Label Group",2024
gogo-penguin-ggp-rmx-lp-new-vinyl-3565296,"1. Kora (Cornelius Remix) 
2. Atomised (Machinedrum Remix) 
3. Embers (Yosi Horikawa Remix) 
4. F Major Pixie (Rone Remix) 
5. F Major Pixie (Squarepusher Remix) 
6. Open (Nathan Fake Remix) 
7. Signal in the Noise (808 State Remix) 
8. Totem (James Holden Remix) 
9. To the Nth (Shunya Remix) 
10. Petit_a (Clark Remix) 
11. Don't Go (Portico Quartet Remix) ","2xVinyl, LP, Album, Remix Album, Limited Edition, Coloured Vinyl, Red Vinyl, Blue Vinyl",Blue Note Records,2021
gojira-2-fortitude-lp-new-vinyl-0075678644511,"1. Born For One Thing 
2. Amazonia 
3. Another World 
4. Hold On 
5. New Found 
6. Fortitude 
7. The Chant 
8. Sphinx 
9. Into The Storm 
10. The Trails 
11. Grind ",Vinyl,"Roadrunner Records, Roadrunner Records",2021
golden-earring-back-home-the-complete-leiden-1984-concert-lp-new-vinyl-movlp3248b,"1. Enough Is Enough 
2. I'll Make It All Up To You 
3. Mission Impossible 
4. When The Lady Smiles 
5. Future 
6. Long Blond Animal 
7. N.E.W.S. 
8. Rinus On Bass 
9. Radar Love I 
10. Cesar On Drums 
11. Radar Love II 
12. Twilight Zone 
13. The Devil Made Me Do It 
14. Clear Night Moonlight ",Vinyl,"Music On Vinyl, Red Bullet",2024
golden-earring-cut-lp-new-vinyl-movlp3068c,"1. The Devil Made Me Do It (3:20)
2. Future (5:20)
3. Baby Dynamite (5:10)
4. Last Of The Mohicans (4:40)
5. Lost And Found (3:55)
6. Twilight Zone (7:55)
7. Chargin' Up My Batteries (4:15)
8. Secrets (4:00)",Vinyl,"Music On Vinyl, Red Bullet",2022
golden-earring-eight-miles-high-lp-new-vinyl-movlp3043c,"1. Landing (4:30)
2. Song Of A Devil's Servant (6:02)
3. One Huge Road (3:05)
4. Everyday's Torture (5:19)
5. Eight Miles High (18:53)",Vinyl,"Music On Vinyl, Red Bullet",2022
golden-earring-grab-it-for-a-second-lp-new-vinyl-movlp3447c,"1. Movin' Down Life 
2. Against The Grain 
3. Grab It For A Second 
4. Cell-29 
5. Roxanne 
6. Leather 
7. Temptin' 
8. U-Turn Time 
9. I Can't Talk Now (Bonus Track) ",Vinyl,Music On Vinyl B.V.,2023
